date,Tmax,Tmin,Tavg
1905-06-01,NA,NA,10.2
1905-06-02,NA,NA,10.6
1905-06-03,NA,NA,9.8
1905-06-04,NA,NA,9.1
1905-06-05,NA,NA,10.6
1905-06-06,NA,NA,11.1
1905-06-07,NA,NA,10.2
1905-06-08,NA,NA,10.2
1905-06-09,NA,NA,10
1905-06-10,NA,NA,10.7
1905-06-11,NA,NA,11.3
1905-06-12,NA,NA,11.3
1905-06-13,NA,NA,10.6
1905-06-14,NA,NA,11.3
1905-06-15,NA,NA,11.7
1905-06-16,NA,NA,13
1905-06-17,NA,NA,13.7
1905-06-18,NA,NA,12.4
1905-06-19,NA,NA,15
1905-06-20,NA,NA,13.1
1905-06-21,NA,NA,12.6
1905-06-22,NA,NA,11.9
1905-06-23,NA,NA,12.2
1905-06-24,NA,NA,11.5
1905-06-25,NA,NA,11.9
1905-06-26,NA,NA,13
1905-06-27,NA,NA,11.7
1905-06-28,NA,NA,11.1
1905-06-29,NA,NA,11.5
1905-06-30,NA,NA,12.8
1905-07-01,NA,NA,13
1905-07-02,NA,NA,13.7
1905-07-03,NA,NA,14.3
1905-07-04,NA,NA,15.7
1905-07-05,NA,NA,16.7
1905-07-06,NA,NA,16.3
1905-07-07,NA,NA,16.5
1905-07-08,NA,NA,16.3
1905-07-09,NA,NA,16.9
1905-07-10,NA,NA,15.7
1905-07-11,NA,NA,14.6
1905-07-12,NA,NA,16.5
1905-07-13,NA,NA,17.6
1905-07-14,NA,NA,17.6
1905-07-15,NA,NA,14.4
1905-07-16,NA,NA,11.5
1905-07-17,NA,NA,13.5
1905-07-18,NA,NA,15
1905-07-19,NA,NA,15.4
1905-07-20,NA,NA,14.1
1905-07-21,NA,NA,13.1
1905-07-22,NA,NA,14.6
1905-07-23,NA,NA,15.4
1905-07-24,NA,NA,15
1905-07-25,NA,NA,15.2
1905-07-26,NA,NA,14.4
1905-07-27,NA,NA,14.4
1905-07-28,NA,NA,15
1905-07-29,NA,NA,16.3
1905-07-30,NA,NA,17.2
1905-07-31,NA,NA,16.3
1905-08-01,NA,NA,14.4
1905-08-02,NA,NA,14.3
1905-08-03,NA,NA,14.3
1905-08-04,NA,NA,14.8
1905-08-05,NA,NA,16.1
1905-08-06,NA,NA,16.3
1905-08-07,NA,NA,16.5
1905-08-08,NA,NA,15.7
1905-08-09,NA,NA,15.7
1905-08-10,NA,NA,17.4
1905-08-11,NA,NA,17.6
1905-08-12,NA,NA,18.5
1905-08-13,NA,NA,14.6
1905-08-14,NA,NA,12.6
1905-08-15,NA,NA,14.8
1905-08-16,NA,NA,14.4
1905-08-29,NA,NA,15.9
1905-08-30,NA,NA,15.7
1905-08-31,NA,NA,15.9
1905-09-01,NA,NA,14.3
1905-09-02,NA,NA,14.1
1905-09-03,NA,NA,13.9
1905-09-04,NA,NA,14.3
1905-09-05,NA,NA,14.6
1905-09-06,NA,NA,15
1905-09-07,NA,NA,14.8
1905-09-08,NA,NA,13.7
1905-09-09,NA,NA,13.9
1905-09-10,NA,NA,14.3
1905-09-11,NA,NA,14.6
1905-09-12,NA,NA,14.4
1905-09-13,NA,NA,14.6
1905-09-14,NA,NA,12.8
1905-09-15,NA,NA,10.9
1905-09-16,NA,NA,11.1
1905-09-17,NA,NA,11.7
1905-09-18,NA,NA,11.7
1905-09-19,NA,NA,11.7
1905-09-20,NA,NA,12.4
1905-09-21,NA,NA,11.9
1905-09-22,NA,NA,13
1905-09-23,NA,NA,13.3
1905-09-24,NA,NA,11.7
1905-09-25,NA,NA,11.1
1905-09-26,NA,NA,8.3
1905-09-27,NA,NA,7.8
1905-09-28,NA,NA,8.1
1905-09-29,NA,NA,8.5
1905-09-30,NA,NA,8.9
1905-10-01,NA,NA,9.3
1905-10-02,NA,NA,10
1905-10-03,NA,NA,10.7
1905-10-04,NA,NA,10.6
1905-10-05,NA,NA,11.7
1905-10-06,NA,NA,9.4
1905-10-07,NA,NA,8.9
1905-10-08,NA,NA,8.5
1905-10-09,NA,NA,10
1905-10-10,NA,NA,9.6
1905-10-11,NA,NA,9.4
1905-10-12,NA,NA,9.4
1905-10-13,NA,NA,9.1
1905-10-14,NA,NA,8.7
1905-10-15,NA,NA,8.9
1905-10-16,NA,NA,9.4
1905-10-17,NA,NA,9.4
1905-10-18,NA,NA,9.4
1905-10-19,NA,NA,10.2
1905-10-20,NA,NA,9.6
1905-10-21,NA,NA,9.4
1905-10-22,NA,NA,6.7
1905-10-23,NA,NA,7.4
1905-10-24,NA,NA,8.7
1905-10-25,NA,NA,8.1
1905-10-26,NA,NA,7.4
1905-10-27,NA,NA,7.4
1905-10-28,NA,NA,7.2
1905-10-29,NA,NA,6.9
1905-10-30,NA,NA,6.5
1905-10-31,NA,NA,6.5
1905-11-01,NA,NA,7.4
1905-11-02,NA,NA,5.9
1905-11-03,NA,NA,6.5
1905-11-04,NA,NA,6.1
1905-11-05,NA,NA,6.3
1905-11-06,NA,NA,5.9
1905-11-07,NA,NA,5.9
1905-11-08,NA,NA,6.3
1905-11-09,NA,NA,5.4
1905-11-10,NA,NA,5.4
1905-11-11,NA,NA,6.1
1905-11-12,NA,NA,5.6
1905-11-13,NA,NA,5.2
1905-11-14,NA,NA,5.6
1905-11-15,NA,NA,3.9
1905-11-16,NA,NA,5.2
1905-11-17,NA,NA,4.6
1905-11-18,NA,NA,4.6
1905-11-19,NA,NA,3.9
1905-11-20,NA,NA,2.2
1905-11-21,NA,NA,4.4
1905-11-22,NA,NA,5.2
1905-11-23,NA,NA,5
1905-11-24,NA,NA,5
1905-11-25,NA,NA,5.6
1905-11-26,NA,NA,5
1905-11-27,NA,NA,4.4
1905-11-28,NA,NA,3.9
1905-11-29,NA,NA,4.6
1905-11-30,NA,NA,3.9
1905-12-01,NA,NA,2.2
1905-12-02,NA,NA,2.8
1905-12-03,NA,NA,2.4
1905-12-04,NA,NA,2.8
1905-12-05,NA,NA,2.2
1905-12-06,NA,NA,3.1
1905-12-07,NA,NA,4.1
1905-12-08,NA,NA,3.7
1905-12-09,NA,NA,4.1
1905-12-10,NA,NA,3.7
1905-12-11,NA,NA,2.8
1905-12-12,NA,NA,1.9
1905-12-13,NA,NA,2.4
1905-12-14,NA,NA,2.6
1905-12-15,NA,NA,1.3
1905-12-16,NA,NA,1.5
1905-12-17,NA,NA,1.7
1905-12-18,NA,NA,2.2
1905-12-19,NA,NA,1.7
1905-12-20,NA,NA,1.9
1905-12-21,NA,NA,1.5
1905-12-22,NA,NA,1.1
1905-12-23,NA,NA,1.3
1905-12-24,NA,NA,1.3
1905-12-25,NA,NA,1.1
1905-12-26,NA,NA,1.1
1905-12-27,NA,NA,1.5
1905-12-28,NA,NA,1.5
1905-12-29,NA,NA,1.7
1905-12-30,NA,NA,1.7
1905-12-31,NA,NA,1.7
1906-01-01,NA,NA,1.7
1906-01-02,NA,NA,1.1
1906-01-03,NA,NA,1.3
1906-01-04,NA,NA,2.4
1906-01-05,NA,NA,2.8
1906-01-06,NA,NA,2.4
1906-01-07,NA,NA,0.7
1906-01-08,NA,NA,0.9
1906-01-09,NA,NA,-1.1
1906-01-10,NA,NA,1.3
1906-01-11,NA,NA,1.9
1906-01-12,NA,NA,2.2
1906-01-13,NA,NA,1.5
1906-01-14,NA,NA,1.7
1906-01-15,NA,NA,1.1
1906-01-16,NA,NA,1.5
1906-01-17,NA,NA,2
1906-01-18,NA,NA,1.5
1906-01-19,NA,NA,1.3
1906-01-20,NA,NA,0.9
1906-01-21,NA,NA,1.7
1906-01-22,NA,NA,2
1906-01-23,NA,NA,2.6
1906-01-24,NA,NA,2.4
1906-01-25,NA,NA,0.7
1906-01-26,NA,NA,1.9
1906-01-27,NA,NA,2.8
1906-01-28,NA,NA,2.2
1906-01-29,NA,NA,0.6
1906-01-30,NA,NA,1.7
1906-01-31,NA,NA,2
1906-02-01,NA,NA,2.2
1906-02-02,NA,NA,2.6
1906-02-03,NA,NA,-0.7
1906-02-04,NA,NA,0.6
1906-02-05,NA,NA,1.1
1906-02-06,NA,NA,-0.7
1906-02-07,NA,NA,-2
1906-02-08,NA,NA,-1.5
1906-02-09,NA,NA,-0.7
1906-02-10,NA,NA,-0.9
1906-02-11,NA,NA,-1.1
1906-02-12,NA,NA,-0.6
1906-02-13,NA,NA,-0.6
1906-02-14,NA,NA,0
1906-02-15,NA,NA,-1.7
1906-02-16,NA,NA,-0.9
1906-02-17,NA,NA,-0.7
1906-02-18,NA,NA,-1.1
1906-02-19,NA,NA,-0.6
1906-02-20,NA,NA,-0.4
1906-02-21,NA,NA,-0.2
1906-02-22,NA,NA,0
1906-02-23,NA,NA,-0.9
1906-02-24,NA,NA,0
1906-02-25,NA,NA,0
1906-02-26,NA,NA,0.6
1906-02-27,NA,NA,-0.2
1906-02-28,NA,NA,-1.1
1906-03-01,NA,NA,-1.9
1906-03-02,NA,NA,-1.3
1906-03-03,NA,NA,-1.1
1906-03-04,NA,NA,-0.6
1906-03-05,NA,NA,-0.6
1906-03-06,NA,NA,-0.7
1906-03-07,NA,NA,-0.4
1906-03-08,NA,NA,-0.2
1906-03-09,NA,NA,-0.4
1906-03-10,NA,NA,-0.2
1906-03-11,NA,NA,-0.6
1906-03-12,NA,NA,-0.6
1906-03-13,NA,NA,-1.1
1906-03-14,NA,NA,-1.1
1906-03-15,NA,NA,-1.1
1906-03-16,NA,NA,-1.9
1906-03-17,NA,NA,-0.7
1906-03-18,NA,NA,-1.1
1906-03-19,NA,NA,0
1906-03-20,NA,NA,-0.2
1906-03-21,NA,NA,0.2
1906-03-22,NA,NA,0.2
1906-03-23,NA,NA,-1.1
1906-03-24,NA,NA,-0.7
1906-03-25,NA,NA,-1.3
1906-03-26,NA,NA,0
1906-03-27,NA,NA,1.1
1906-03-28,NA,NA,1.7
1906-03-29,NA,NA,1.3
1906-03-30,NA,NA,1.5
1906-03-31,NA,NA,1.5
1906-04-01,NA,NA,0.9
1906-04-02,NA,NA,1.1
1906-04-03,NA,NA,1.3
1906-04-04,NA,NA,1.5
1906-04-05,NA,NA,1.9
1906-04-06,NA,NA,2.4
1906-04-07,NA,NA,1.5
1906-04-08,NA,NA,1.5
1906-04-09,NA,NA,2
1906-04-10,NA,NA,2.2
1906-04-11,NA,NA,2.6
1906-04-12,NA,NA,2.8
1906-04-13,NA,NA,3
1906-04-14,NA,NA,2.6
1906-04-15,NA,NA,3.3
1906-04-16,NA,NA,3.7
1906-04-17,NA,NA,5
1906-04-18,NA,NA,4.4
1906-04-19,NA,NA,4.8
1906-04-20,NA,NA,4.4
1906-04-21,NA,NA,5.7
1906-04-22,NA,NA,4.6
1906-04-23,NA,NA,4.8
1906-04-24,NA,NA,2.8
1906-04-25,NA,NA,3
1906-04-26,NA,NA,4.1
1906-04-27,NA,NA,3.9
1906-04-28,NA,NA,3.9
1906-04-29,NA,NA,4.4
1906-04-30,NA,NA,5.6
1906-05-01,NA,NA,5.4
1906-05-02,NA,NA,5.2
1906-05-03,NA,NA,5.6
1906-05-04,NA,NA,5.2
1906-05-05,NA,NA,5.6
1906-05-06,NA,NA,5.6
1906-05-07,NA,NA,6.1
1906-05-08,NA,NA,5.4
1906-05-09,NA,NA,5.9
1906-05-10,NA,NA,6.1
1906-05-11,NA,NA,6.1
1906-05-12,NA,NA,6.5
1906-05-13,NA,NA,6.7
1906-05-14,NA,NA,6.1
1906-05-15,NA,NA,6.1
1906-05-16,NA,NA,6.9
1906-05-17,NA,NA,7.8
1906-05-18,NA,NA,8.9
1906-05-19,NA,NA,10.6
1906-05-20,NA,NA,8.9
1906-05-21,NA,NA,7.4
1906-05-22,NA,NA,8
1906-05-23,NA,NA,8
1906-05-24,NA,NA,9.1
1906-05-25,NA,NA,9.8
1906-05-26,NA,NA,8.9
1906-05-27,NA,NA,8.9
1906-05-28,NA,NA,8.3
1906-05-29,NA,NA,7.8
1906-05-30,NA,NA,7.8
1906-05-31,NA,NA,8.1
1906-06-01,NA,NA,9.8
1906-06-02,NA,NA,10.4
1906-06-03,NA,NA,10.9
1906-06-04,NA,NA,10.4
1906-06-05,NA,NA,10.9
1906-06-06,NA,NA,10
1906-06-07,NA,NA,10
1906-06-08,NA,NA,9.8
1906-06-09,NA,NA,9.6
1906-06-10,NA,NA,10.9
1906-06-11,NA,NA,8.7
1906-06-12,NA,NA,7.8
1906-06-13,NA,NA,9.1
1906-06-14,NA,NA,9.3
1906-06-15,NA,NA,9.8
1906-06-16,NA,NA,10.6
1906-06-17,NA,NA,10.9
1906-06-18,NA,NA,10.9
1906-06-19,NA,NA,11.5
1906-06-20,NA,NA,13.1
1906-06-21,NA,NA,12.2
1906-06-22,NA,NA,13.1
1906-06-23,NA,NA,12.6
1906-06-24,NA,NA,12.2
1906-06-25,NA,NA,12
1906-06-26,NA,NA,10.9
1906-06-27,NA,NA,12
1906-06-28,NA,NA,12.2
1906-06-29,NA,NA,12.8
1906-06-30,NA,NA,12.2
1906-07-01,NA,NA,12.6
1906-07-02,NA,NA,13.1
1906-07-03,NA,NA,13.3
1906-07-04,NA,NA,12.2
1906-07-05,NA,NA,11.9
1906-07-06,NA,NA,12.4
1906-07-07,NA,NA,13.5
1906-07-08,NA,NA,12.8
1906-07-09,NA,NA,13.9
1906-07-10,NA,NA,14.1
1906-07-11,NA,NA,12.8
1906-07-12,NA,NA,13.5
1906-07-13,NA,NA,13.5
1906-07-14,NA,NA,13.5
1906-07-15,NA,NA,15.2
1906-07-16,NA,NA,15
1906-07-17,NA,NA,16.9
1906-07-18,NA,NA,16.7
1906-07-19,NA,NA,15.2
1906-07-20,NA,NA,16.9
1906-07-21,NA,NA,15.7
1906-07-22,NA,NA,16.9
1906-07-23,NA,NA,16.9
1906-07-24,NA,NA,17
1906-07-25,NA,NA,14.4
1906-07-26,NA,NA,15.9
1906-07-27,NA,NA,15.6
1906-07-28,NA,NA,15.2
1906-07-29,NA,NA,15.4
1906-07-30,NA,NA,17.6
1906-07-31,NA,NA,17.2
1906-08-01,NA,NA,15.6
1906-08-02,NA,NA,15.9
1906-08-03,NA,NA,16.7
1906-08-04,NA,NA,17.6
1906-08-05,NA,NA,17.8
1906-08-06,NA,NA,17.8
1906-08-07,NA,NA,15.6
1906-08-08,NA,NA,16.9
1906-08-09,NA,NA,16.1
1906-08-10,NA,NA,16.7
1906-08-11,NA,NA,18.1
1906-08-12,NA,NA,18
1906-08-13,NA,NA,14.8
1906-08-14,NA,NA,15.4
1906-08-15,NA,NA,16.5
1906-08-16,NA,NA,17.4
1906-08-17,NA,NA,17.4
1906-08-18,NA,NA,17.6
1906-08-19,NA,NA,20.4
1906-08-20,NA,NA,20.2
1906-08-21,NA,NA,19.3
1906-08-22,NA,NA,18.5
1906-08-23,NA,NA,18.3
1906-08-24,NA,NA,14.8
1906-08-25,NA,NA,12.2
1906-08-26,NA,NA,11.9
1906-08-27,NA,NA,16.3
1906-08-28,NA,NA,15.9
1906-08-29,NA,NA,16.1
1906-08-30,NA,NA,16.1
1906-08-31,NA,NA,16.1
1906-09-01,NA,NA,15.9
1906-09-02,NA,NA,15.6
1906-09-03,NA,NA,15.2
1906-09-04,NA,NA,13.5
1906-09-05,NA,NA,10.6
1906-09-06,NA,NA,11.7
1906-09-07,NA,NA,11.7
1906-09-08,NA,NA,13
1906-09-09,NA,NA,13.1
1906-09-10,NA,NA,13.7
1906-09-11,NA,NA,14.4
1906-09-12,NA,NA,14.8
1906-09-13,NA,NA,15
1906-09-14,NA,NA,14.8
1906-09-15,NA,NA,12.4
1906-09-16,NA,NA,12.4
1906-09-17,NA,NA,12.4
1906-09-18,NA,NA,13.1
1906-09-19,NA,NA,13.3
1906-09-20,NA,NA,13.9
1906-09-21,NA,NA,14.8
1906-09-22,NA,NA,13.9
1906-09-23,NA,NA,14.1
1906-09-24,NA,NA,10.7
1906-09-25,NA,NA,11.1
1906-09-26,NA,NA,12
1906-09-27,NA,NA,12.2
1906-09-28,NA,NA,11.7
1906-09-29,NA,NA,11.9
1906-09-30,NA,NA,11.5
1906-10-01,NA,NA,10
1906-10-02,NA,NA,10
1906-10-03,NA,NA,10
1906-10-04,NA,NA,11.3
1906-10-05,NA,NA,12.2
1906-10-06,NA,NA,12
1906-10-07,NA,NA,11.5
1906-10-08,NA,NA,10.4
1906-10-09,NA,NA,10
1906-10-10,NA,NA,10
1906-10-11,NA,NA,10
1906-10-12,NA,NA,8.9
1906-10-13,NA,NA,7.8
1906-10-14,NA,NA,7.8
1906-10-15,NA,NA,7.2
1906-10-16,NA,NA,8.1
1906-10-17,NA,NA,8.7
1906-10-18,NA,NA,9.3
1906-10-19,NA,NA,8.9
1906-10-20,NA,NA,9.4
1906-10-21,NA,NA,9.4
1906-10-22,NA,NA,9.4
1906-10-23,NA,NA,9.6
1906-10-24,NA,NA,9.4
1906-10-25,NA,NA,9.4
1906-10-26,NA,NA,8.9
1906-10-27,NA,NA,8.9
1906-10-28,NA,NA,8.9
1906-10-29,NA,NA,8.9
1906-10-30,NA,NA,8.9
1906-10-31,NA,NA,8
1906-11-01,NA,NA,6.7
1906-11-02,NA,NA,5.6
1906-11-03,NA,NA,6.3
1906-11-04,NA,NA,6.5
1906-11-05,NA,NA,6.1
1906-11-06,NA,NA,5.9
1906-11-07,NA,NA,5.6
1906-11-08,NA,NA,5.6
1906-11-09,NA,NA,5.6
1906-11-10,NA,NA,5.6
1906-11-11,NA,NA,5.6
1906-11-12,NA,NA,5.7
1906-11-13,NA,NA,6.1
1906-11-14,NA,NA,6.1
1906-11-15,NA,NA,5.7
1906-11-16,NA,NA,6.1
1906-11-17,NA,NA,5.9
1906-11-18,NA,NA,6.1
1906-11-19,NA,NA,6.7
1906-11-20,NA,NA,6.7
1906-11-21,NA,NA,6.7
1906-11-22,NA,NA,6.7
1906-11-23,NA,NA,5.6
1906-11-24,NA,NA,5.6
1906-11-25,NA,NA,5.9
1906-11-26,NA,NA,5.7
1906-11-27,NA,NA,5.6
1906-11-28,NA,NA,3.3
1906-11-29,NA,NA,3.3
1906-11-30,NA,NA,3.3
1906-12-01,NA,NA,4.4
1906-12-02,NA,NA,3.9
1906-12-03,NA,NA,3.7
1906-12-04,NA,NA,2.8
1906-12-05,NA,NA,2.2
1906-12-06,NA,NA,2.4
1906-12-07,NA,NA,3.3
1906-12-08,NA,NA,1.1
1906-12-09,NA,NA,0.4
1906-12-10,NA,NA,1.5
1906-12-11,NA,NA,1.7
1906-12-12,NA,NA,0.4
1906-12-13,NA,NA,1.5
1906-12-14,NA,NA,1.5
1906-12-15,NA,NA,1.7
1906-12-16,NA,NA,1.5
1906-12-17,NA,NA,1.1
1906-12-18,NA,NA,1.5
1906-12-19,NA,NA,1.3
1906-12-20,NA,NA,1.7
1906-12-21,NA,NA,2.6
1906-12-22,NA,NA,1.7
1906-12-23,NA,NA,1.7
1906-12-24,NA,NA,1.7
1906-12-25,NA,NA,1.7
1906-12-26,NA,NA,1.7
1906-12-27,NA,NA,2
1906-12-28,NA,NA,2.2
1906-12-29,NA,NA,1.7
1906-12-30,NA,NA,1.7
1906-12-31,NA,NA,2.2
1907-01-01,NA,NA,1.7
1907-01-02,NA,NA,2
1907-01-03,NA,NA,1.7
1907-01-04,NA,NA,2.8
1907-01-05,NA,NA,2.8
1907-01-06,NA,NA,2.8
1907-01-07,NA,NA,2.2
1907-01-08,NA,NA,2.2
1907-01-09,NA,NA,2.2
1907-01-10,NA,NA,0
1907-01-11,NA,NA,1.7
1907-01-12,NA,NA,0
1907-01-13,NA,NA,0
1907-01-14,NA,NA,0
1907-01-15,NA,NA,0
1907-01-16,NA,NA,-1.1
1907-01-17,NA,NA,-0.9
1907-01-18,NA,NA,-0.7
1907-01-19,NA,NA,-0.6
1907-01-20,NA,NA,-0.6
1907-01-21,NA,NA,0.6
1907-01-22,NA,NA,-1.1
1907-01-23,NA,NA,-1.1
1907-01-24,NA,NA,-1.7
1907-01-25,NA,NA,-1.7
1907-01-26,NA,NA,-1.7
1907-01-27,NA,NA,-1.7
1907-01-28,NA,NA,-1.7
1907-01-29,NA,NA,-1.7
1907-01-30,NA,NA,-1.1
1907-01-31,NA,NA,-1.1
1907-02-01,NA,NA,-1.7
1907-02-02,NA,NA,-1.3
1907-02-03,NA,NA,-1.7
1907-02-04,NA,NA,-1.7
1907-02-05,NA,NA,-1.7
1907-02-06,NA,NA,-1.7
1907-02-07,NA,NA,-1.7
1907-02-08,NA,NA,-1.7
1907-02-09,NA,NA,-1.7
1907-02-10,NA,NA,-1.7
1907-02-11,NA,NA,-1.7
1907-02-12,NA,NA,-1.7
1907-02-13,NA,NA,-2.2
1907-02-14,NA,NA,-1.7
1907-02-15,NA,NA,-1.7
1907-02-16,NA,NA,-1.5
1907-02-17,NA,NA,-1.7
1907-02-18,NA,NA,-1.7
1907-02-19,NA,NA,-1.7
1907-02-20,NA,NA,-1.7
1907-02-21,NA,NA,-1.7
1907-02-22,NA,NA,-1.7
1907-02-23,NA,NA,-1.7
1907-02-24,NA,NA,-1.7
1907-02-25,NA,NA,-1.7
1907-02-26,NA,NA,-1.7
1907-02-27,NA,NA,-1.7
1907-02-28,NA,NA,-1.7
1907-03-01,NA,NA,-1.7
1907-03-02,NA,NA,-1.3
1907-03-03,NA,NA,-1.3
1907-03-04,NA,NA,-1.1
1907-03-05,NA,NA,-1.1
1907-03-06,NA,NA,-1.1
1907-03-07,NA,NA,-1.1
1907-03-08,NA,NA,-1.1
1907-03-09,NA,NA,-1.1
1907-03-10,NA,NA,-1.1
1907-03-11,NA,NA,-1.1
1907-03-12,NA,NA,-1.1
1907-03-13,NA,NA,0
1907-03-14,NA,NA,0
1907-03-15,NA,NA,0
1907-03-16,NA,NA,0
1907-03-17,NA,NA,0.4
1907-03-18,NA,NA,0.6
1907-03-19,NA,NA,0.6
1907-03-20,NA,NA,0.6
1907-03-21,NA,NA,0.7
1907-03-22,NA,NA,1.1
1907-03-23,NA,NA,1.1
1907-03-24,NA,NA,1.1
1907-03-25,NA,NA,1.1
1907-03-26,NA,NA,1.5
1907-03-27,NA,NA,1.7
1907-03-28,NA,NA,1.7
1907-03-29,NA,NA,1.7
1907-03-30,NA,NA,1.7
1907-03-31,NA,NA,1.7
1907-04-01,NA,NA,1.7
1907-04-02,NA,NA,1.7
1907-04-03,NA,NA,1.7
1907-04-04,NA,NA,2.2
1907-04-05,NA,NA,3
1907-04-06,NA,NA,2.6
1907-04-07,NA,NA,2.2
1907-04-08,NA,NA,2.2
1907-04-09,NA,NA,2.2
1907-04-10,NA,NA,2.2
1907-04-11,NA,NA,2.2
1907-04-12,NA,NA,2.2
1907-04-13,NA,NA,3.3
1907-04-14,NA,NA,2.8
1907-04-15,NA,NA,2.8
1907-04-16,NA,NA,2.6
1907-04-17,NA,NA,3.1
1907-04-18,NA,NA,3.3
1907-04-19,NA,NA,3.3
1907-04-20,NA,NA,3.3
1907-04-21,NA,NA,2.4
1907-04-22,NA,NA,2.2
1907-04-23,NA,NA,3.3
1907-04-24,NA,NA,3.9
1907-04-25,NA,NA,3.9
1907-04-26,NA,NA,3.9
1907-04-27,NA,NA,3.9
1907-04-28,NA,NA,4.8
1907-04-29,NA,NA,5.4
1907-04-30,NA,NA,5.2
1907-05-01,NA,NA,6.7
1907-05-02,NA,NA,6.7
1907-05-03,NA,NA,5.6
1907-05-04,NA,NA,5.2
1907-05-05,NA,NA,5
1907-05-06,NA,NA,5.6
1907-05-07,NA,NA,5.6
1907-05-08,NA,NA,6.5
1907-05-09,NA,NA,6.7
1907-05-10,NA,NA,5.9
1907-05-11,NA,NA,5.2
1907-05-12,NA,NA,5.4
1907-05-13,NA,NA,5.2
1907-05-14,NA,NA,6.1
1907-05-15,NA,NA,6.7
1907-05-16,NA,NA,6.7
1907-05-17,NA,NA,6.5
1907-05-18,NA,NA,7.8
1907-05-19,NA,NA,8.1
1907-05-20,NA,NA,7.4
1907-05-21,NA,NA,5.4
1907-05-22,NA,NA,4.4
1907-05-23,NA,NA,5.7
1907-05-24,NA,NA,6.7
1907-05-25,NA,NA,5.6
1907-05-26,NA,NA,6.5
1907-05-27,NA,NA,6.7
1907-05-28,NA,NA,6.7
1907-05-29,NA,NA,5.6
1907-05-30,NA,NA,4.6
1907-05-31,NA,NA,5
1907-06-01,NA,NA,5.7
1907-06-02,NA,NA,6.1
1907-06-03,NA,NA,6.3
1907-06-04,NA,NA,6.7
1907-06-05,NA,NA,7
1907-06-06,NA,NA,7.2
1907-06-07,NA,NA,7.6
1907-06-08,NA,NA,7.6
1907-06-09,NA,NA,7.8
1907-06-10,NA,NA,8.3
1907-06-11,NA,NA,7.8
1907-06-12,NA,NA,8.9
1907-06-13,NA,NA,9.8
